FXD_ACCT_KEY,CAL_DT_KEY,CAL_MTH_KEY,MTH_END_FLAG,OPENING_STATUS,CLOSING_STATUS,OPENING_SEGMENT,CLOSING_SEGMENT,TECHNOLOGY,OPENING_BASE,ADDITIONS,DISCONNECTS,CLOSING_BASE,GROSS_ADDS,CHURN,MIGRATIONS,TITLE,SUBURB,CITY,POST_CODE,PYMNT_METHOD,SEG_KEY,HIST_START_DTTM,HIST_END_DTTM,CURR_IND,PROD_KEY,PROD_CD,PROD_DESCR,PROD_GRP_DESCR,PROD_TYPE,PROD_INTERNAL_DESCR,MLY_FEE_INCL_GST,CARE_CONTACT,DATA_USAGE
212540,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,DANNEMORA,AUCKLAND,2016,Visa,1,14/06/2019 0:00,31/12/9999 0:00,Y,2141,CON,Services under contract,OTHER,SUPSERVICE,NULL,0,0,100
215540,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,WOOLSTON,CHRISTCHURCH,8023,Direct Debit,1,24/05/2019 0:00,31/12/9999 0:00,Y,1114,2DBD, OPay Monthly Discount,DISCOUNT,SUPSERVICE,NULL,-10,0,150
213980,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,VDSL,1,0,0,1,0,0,0,NULL,PAPATOETOE,,AUCKLAND,Visa,1,4/08/2019 0:00,31/12/9999 0:00,Y,5051,LOAN,2degrees Modem Rental,RENT,SUPSERVICE,NULL,0,0,200
151459,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,HOWICK,AUCKLAND,2014,Visa,1,4/08/2018 0:00,31/12/9999 0:00,Y,4852,696,2degrees Broadband Unlimited Ultimate Fibre,UFB,PLANTYPE,UFB 900/400,110,0,180
198740,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,VDSL,1,0,0,1,0,0,0,NULL,OWHATA,ROTORUA,3010,Direct Debit,1,29/01/2019 0:00,31/12/9999 0:00,Y,2141,CON,Services under contract,OTHER,SUPSERVICE,NULL,0,0,170
187819,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,VDSL,1,0,0,1,0,0,0,NULL,HILLSBOROUGH,AUCKLAND,1042,Direct Debit,1,1/11/2018 0:00,31/12/9999 0:00,Y,2141,CON,Services under contract,OTHER,SUPSERVICE,NULL,0,0,150
187219,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,CLAUDELANDS,HAMILTON,3214,Direct Debit,1,4/08/2019 0:00,31/12/9999 0:00,Y,2141,CON,Services under contract,OTHER,SUPSERVICE,NULL,0,0,100
127218,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,VDSL,1,0,0,1,0,0,0,NULL,OHOKA,WAIMAKARIRI,7692,Direct Debit,1,28/11/2017 0:00,31/12/9999 0:00,Y,2141,CON,Services under contract,OTHER,SUPSERVICE,NULL,0,0,150
118098,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,HALSWELL,CHRISTCHURCH,8025,Direct Debit,1,15/11/2016 0:00,31/12/9999 0:00,Y,2141,CON,Services under contract,OTHER,SUPSERVICE,NULL,0,0,200
163699,20190831,201908,Y,ACTIVE,ACTIVE,RESIDENTIAL,RESIDENTIAL,UFB,1,0,0,1,0,0,0,NULL,PAPATOETOE,AUCKLAND,2025,Direct Debit,1,2/06/2018 0:00,31/12/9999 0:00,Y,4417,692,2degrees Broadband Unlimited Fibre,UFB,PLANTYPE,UFB 100/20,85,0,180
